date,value,region,variable
1910,1056.07266249152,East Asia,GDPpc
1920,1215.61564030937,East Asia,GDPpc
1930,1296.04836898522,East Asia,GDPpc
1940,1496.27657563282,East Asia,GDPpc
1950,1109.44073737459,East Asia,GDPpc
1960,1725.52175975897,East Asia,GDPpc
1970,3030.77205392167,East Asia,GDPpc
1980,4191.31840830088,East Asia,GDPpc
1990,6089.84146462052,East Asia,GDPpc
2000,8152.87700710595,East Asia,GDPpc
2010,12862.3451209881,East Asia,GDPpc
2015,16298.285535914,East Asia,GDPpc
2016,17048.7885159528,East Asia,GDPpc
2017,17909.3924270298,East Asia,GDPpc
2018,18785.0729355872,East Asia,GDPpc
2019,19580.744852857,East Asia,GDPpc
2020,19749.5138074548,East Asia,GDPpc
2021,21157.305464436,East Asia,GDPpc
2022,21728.5204358748,East Asia,GDPpc
1910,2240.67788822859,Eastern Europe,GDPpc
1920,1374.98721494835,Eastern Europe,GDPpc
1930,2506.87991575829,Eastern Europe,GDPpc
1940,3216.90690163888,Eastern Europe,GDPpc
1950,4133.08421810367,Eastern Europe,GDPpc
1960,5865.57763593451,Eastern Europe,GDPpc
1970,8330.06725681435,Eastern Europe,GDPpc
1980,9783.95110730244,Eastern Europe,GDPpc
1990,10091.2730769913,Eastern Europe,GDPpc
2000,8833.69296448214,Eastern Europe,GDPpc
2010,16320.2711820128,Eastern Europe,GDPpc
2015,18062.734988758,Eastern Europe,GDPpc
2016,18301.7749981928,Eastern Europe,GDPpc
2017,18917.4571282013,Eastern Europe,GDPpc
2018,19560.4262910511,Eastern Europe,GDPpc
2019,20051.0416408449,Eastern Europe,GDPpc
2020,19578.5751650745,Eastern Europe,GDPpc
2021,20696.9899671947,Eastern Europe,GDPpc
2022,20656.2663073771,Eastern Europe,GDPpc
1910,2189.3702418491,Latin America,GDPpc
1920,2332.36854988978,Latin America,GDPpc
1930,2687.60145350593,Latin America,GDPpc
1940,2984.41521802507,Latin America,GDPpc
1950,3678.34590015453,Latin America,GDPpc
1960,4698.25223760414,Latin America,GDPpc
1970,6193.17748467192,Latin America,GDPpc
1980,8611.50698743431,Latin America,GDPpc
1990,8054.83021339963,Latin America,GDPpc
2000,10132.7495637861,Latin America,GDPpc
2010,13356.4419018311,Latin America,GDPpc
2015,14328.6773212664,Latin America,GDPpc
2016,14074.3772389897,Latin America,GDPpc
2017,14102.6699814274,Latin America,GDPpc
2018,14103.0970385445,Latin America,GDPpc
2019,13957.8866144053,Latin America,GDPpc
2020,12865.4961597412,Latin America,GDPpc
2021,13610.7889536395,Latin America,GDPpc
2022,14028.0377625622,Latin America,GDPpc
1930,1600,Middle East and North Africa,GDPpc
1940,2146,Middle East and North Africa,GDPpc
1950,2287.55525799981,Middle East and North Africa,GDPpc
1960,3102.62796705928,Middle East and North Africa,GDPpc
1970,4790.01613621639,Middle East and North Africa,GDPpc
1980,6731.17723938278,Middle East and North Africa,GDPpc
1990,6431.51513241063,Middle East and North Africa,GDPpc
2000,9658.65598715173,Middle East and North Africa,GDPpc
2010,16565.3712244425,Middle East and North Africa,GDPpc
2015,18401.5364722795,Middle East and North Africa,GDPpc
2016,18831.9764864768,Middle East and North Africa,GDPpc
2017,19067.0900992745,Middle East and North Africa,GDPpc
2018,19221.928825646,Middle East and North Africa,GDPpc
2019,19088.2892320146,Middle East and North Africa,GDPpc
2020,18227.4077741004,Middle East and North Africa,GDPpc
2021,19162.6924333189,Middle East and North Africa,GDPpc
2022,19874.7981590635,Middle East and North Africa,GDPpc
1910,1144.26124661069,South and South East Asia,GDPpc
1920,1117.52672037516,South and South East Asia,GDPpc
1930,1308.05715817784,South and South East Asia,GDPpc
1940,1261.43727430829,South and South East Asia,GDPpc
1950,1069.71464636645,South and South East Asia,GDPpc
1960,1294.9342662795,South and South East Asia,GDPpc
1970,1545.87788614673,South and South East Asia,GDPpc
1980,1897.42574778987,South and South East Asia,GDPpc
1990,2573.68339103244,South and South East Asia,GDPpc
2000,3427.39932526445,South and South East Asia,GDPpc
2010,5364.82794739171,South and South East Asia,GDPpc
2015,6704.32928619071,South and South East Asia,GDPpc
2016,7084.08646145899,South and South East Asia,GDPpc
2017,7407.73641548759,South and South East Asia,GDPpc
2018,7778.0246222599,South and South East Asia,GDPpc
2019,8027.96537977546,South and South East Asia,GDPpc
