Currency,year,value
Euro,1995,
Other currencies,1995,4.87023099379119
US dollar,1995,58.9599879456695
Pound sterling,1995,2.11311047230706
French franc,1995,2.35175254442716
Dutch guilder,1995,0.319371278799449
Japanese yen,1995,6.76899186167091
Swiss franc,1995,0.334597065418042
Australian dollar,1995,
Chinese yuan renminbi,1995,
ECU,1995,8.52883359514445
Deutsche mark,1995,15.7531242427723
Canadian dollar,1995,
Euro,1996,
Other currencies,1996,4.48111167615734
US dollar,1996,61.9833234106692
Pound sterling,1996,2.68168556037837
French franc,1996,1.84618467417483
Dutch guilder,1996,0.239341913419126
Japanese yen,1996,6.71238230703635
Swiss franc,1996,0.302144885456493
Australian dollar,1996,
Chinese yuan renminbi,1996,
ECU,1996,7.08175496163735
Deutsche mark,1996,14.6720706110709
Canadian dollar,1996,
Euro,1997,
Other currencies,1997,3.86214783999769
US dollar,1997,65.0987509147878
Pound sterling,1997,2.58043485154519
French franc,1997,1.43834275693918
Dutch guilder,1997,0.350350538659625
Japanese yen,1997,5.77151343468523
Swiss franc,1997,0.348292556717082
Australian dollar,1997,
Chinese yuan renminbi,1997,
ECU,1997,6.0726913065502
Deutsche mark,1997,14.477475800118
Canadian dollar,1997,
Euro,1998,
Other currencies,1998,4.50298507519879
US dollar,1998,69.280716932273
Pound sterling,1998,2.66156941600959
French franc,1998,1.62254974003438
Dutch guilder,1998,0.271981564069299
Japanese yen,1998,6.23871054385705
Swiss franc,1998,0.330267723277006
Australian dollar,1998,
Chinese yuan renminbi,1998,
ECU,1998,1.2969714639253
Deutsche mark,1998,13.7942475413556
Canadian dollar,1998,
Euro,1999,17.8987905769332
Other currencies,1999,1.59699295032739
US dollar,1999,71.0139314733965
Pound sterling,1999,2.88665858331864
French franc,1999,
Dutch guilder,1999,
Japanese yen,1999,6.3737320025953
Swiss franc,1999,0.229894413428983
Australian dollar,1999,
Chinese yuan renminbi,1999,
ECU,1999,
Deutsche mark,1999,
Canadian dollar,1999,
Euro,2000,18.292493005079
Other currencies,2000,1.48197347380477
US dollar,2000,71.13749894789
Pound sterling,2000,2.75336674437061
French franc,2000,
Dutch guilder,2000,
Japanese yen,2000,6.06547154475571
Swiss franc,2000,0.269196284099902
Australian dollar,2000,
Chinese yuan renminbi,2000,
ECU,2000,
Deutsche mark,2000,
Canadian dollar,2000,
Euro,2001,19.1838630645086
Other currencies,2001,1.3072258352482
US dollar,2001,71.5180104132506
Pound sterling,2001,2.70105480301857
French franc,2001,
Dutch guilder,2001,
Japanese yen,2001,5.04461859457584
Swiss franc,2001,0.245227289398235
Australian dollar,2001,
Chinese yuan renminbi,2001,
ECU,2001,
Deutsche mark,2001,
Canadian dollar,2001,
Euro,2002,23.6501120285967
Other currencies,2002,1.57866123169671
US dollar,2002,66.5012155497516
Pound sterling,2002,2.92157654488105
French franc,2002,
Dutch guilder,2002,
Japanese yen,2002,4.94114788426903
Swiss franc,2002,0.407286760804941
Australian dollar,2002,
Chinese yuan renminbi,2002,
ECU,2002,
Deutsche mark,2002,
Canadian dollar,2002,
Euro,2003,25.0329182368264
Other currencies,2003,2.00654407336502
US dollar,2003,65.4498739669679
Pound sterling,2003,2.86134619275654
French franc,2003,
Dutch guilder,2003,
Japanese yen,2003,4.42369027540026
Swiss franc,2003,0.225627254683817
Australian dollar,2003,
Chinese yuan renminbi,2003,
ECU,2003,
Deutsche mark,2003,
Canadian dollar,2003,
Euro,2004,24.6797470282133
Other currencies,2004,1.86949535201314
US dollar,2004,65.5072874753056
Pound sterling,2004,3.49291508769702
French franc,2004,
