Region,date,MedianAgePop,NatChangeRT,CNMR,NetMigrations
JPN,1950,21.3113,17.566,-0.289,-24.997
JPN,1951,21.493,15.645,-0.621,-54.567
JPN,1952,21.7394,14.677,-0.647,-57.653
JPN,1953,22.0291,12.796,-0.313,-28.238
JPN,1954,22.3643,12.124,-0.753,-68.802
JPN,1955,22.7324,11.816,-1.038,-95.975
JPN,1956,23.1168,10.599,-1.633,-152.385
JPN,1957,23.514,9.126,-1.72,-161.856
JPN,1958,23.9205,10.633,-2.42,-229.568
JPN,1959,24.3267,10.204,-2.119,-202.601
JPN,1960,24.7335,9.656,-1.56,-150.371
JPN,1961,25.1364,9.403,-0.606,-58.882
JPN,1962,25.5283,9.375,-0.582,-57.075
JPN,1963,25.9097,10.126,-1.018,-100.742
JPN,1964,26.268,10.645,-1.008,-100.696
JPN,1965,26.5604,11.294,-0.502,-50.667
JPN,1966,26.882,7.71,0.677,68.934
JPN,1967,27.2064,12.346,0.288,29.632
JPN,1968,27.5201,11.508,0.418,43.593
JPN,1969,27.8814,11.215,0.469,49.447
JPN,1970,28.2528,11.324,0.316,33.731
JPN,1971,28.5872,12.46,-0.998,-107.778
JPN,1972,28.8891,12.913,-0.677,-73.98
JPN,1973,29.1843,13.105,-0.313,-34.674
JPN,1974,29.4443,12.366,-0.091,-10.145
JPN,1975,29.6581,11.013,0.001,0.107
JPN,1976,29.8667,10.044,-0.305,-34.976
JPN,1977,30.2167,9.318,-0.425,-49.082
JPN,1978,30.6623,8.797,-0.412,-47.996
JPN,1979,31.1762,8.249,-0.491,-57.692
JPN,1980,31.6952,7.224,-0.78,-92.314
JPN,1981,32.246,6.609,-2.341,-278.525
JPN,1982,32.818,6.395,-2.415,-288.55
JPN,1983,33.3818,6.007,-2.249,-269.755
JPN,1984,33.9326,5.763,-2.273,-273.686
JPN,1985,34.4677,5.104,-1.17,-141.323
JPN,1986,34.9796,4.661,0.231,27.987
JPN,1987,35.4768,4.363,0.23,28.001
JPN,1988,35.9582,3.719,0.418,51.154
JPN,1989,36.4272,3.278,0.254,31.202
JPN,1990,36.872,2.803,1.01,124.582
JPN,1991,37.3126,2.812,1.302,161.331
JPN,1992,37.7645,2.469,1.374,170.878
JPN,1993,38.1907,2.128,1.352,168.836
JPN,1994,38.6019,2.435,1.231,154.214
JPN,1995,38.9924,1.788,0.698,87.714
JPN,1996,39.3733,2.127,0.199,25.03
JPN,1997,39.7392,1.94,0.343,43.366
JPN,1998,40.082,1.835,0.363,45.912
JPN,1999,40.4177,1.338,0.449,56.901
JPN,2000,40.7522,1.594,0.185,23.468
JPN,2001,41.1051,1.409,0.468,59.563
JPN,2002,41.4671,1.17,0.477,60.864
JPN,2003,41.8294,0.693,0.586,74.875
JPN,2004,42.1887,0.444,0.54,69.014
JPN,2005,42.5541,-0.342,0.884,113.017
JPN,2006,42.9002,-0.247,1.016,130.065
JPN,2007,43.2187,-0.435,1.078,138.024
JPN,2008,43.542,-0.69,1.113,142.605
JPN,2009,43.88,-0.833,0.979,125.45
JPN,2010,44.24,-1.287,1.029,131.86
JPN,2011,44.5386,-1.891,0.763,97.72
JPN,2012,44.8079,-2.029,0.531,67.904
JPN,2013,45.099,-2.224,0.52,66.449
JPN,2014,45.461,-2.468,0.456,58.109
JPN,2015,45.8447,-2.624,1.327,168.896
JPN,2016,46.1951,-3.001,2.475,314.732
JPN,2017,46.5354,-3.511,2.539,322.564
JPN,2018,46.8893,-3.935,2.526,320.601
JPN,2019,47.2624,-4.478,2.511,318.19
JPN,2020,47.6739,-4.613,0.333,42.001
JPN,2021,48.1226,-5.369,-0.278,-34.996
JPN,2022,48.5482,-6.63,1.4,175.003
JPN,2023,48.9585,-6.228,1.407,175.003
JPN,2024,49.3827,-6.381,1.239,153.357
JPN,2025,49.7917,-6.526,1.142,140.579
JPN,2026,50.181,-6.675,1.051,128.619
JPN,2027,50.5439,-6.814,1.047,127.401
JPN,2028,50.8805,-6.932,1.033,125.079
JPN,2029,51.1916,-7.038,1.064,128.048
JPN,2030,51.4798,-7.135,1.037,123.993
JPN,2031,51.7456,-7.226,1.044,124.022
JPN,2032,51.9874,-7.317,1.043,123.178
JPN,2033,52.2002,-7.386,1.063,124.737
JPN,2034,52.3812,-7.461,1.036,120.872
JPN,2035,52.5347,-7.498,1.009,116.871
JPN,2036,52.6701,-7.543,1.036,119.219
JPN,2037,52.7963,-7.569,1.037,118.603
JPN,2038,52.9115,-7.587,1.071,121.736
JPN,2039,53.0022,-7.601,1.066,120.375
JPN,2040,53.0612,-7.604,1.054,118.186
JPN,2041,53.0972,-7.623,1.008,112.365
JPN,2042,53.1133,-7.623,1.091,120.719
JPN,2043,53.0995,-7.604,1.086,119.471
JPN,2044,53.0541,-7.588,1.1,120.231
JPN,2045,53.0003,-7.551,1.045,113.424
JPN,2046,52.946,-7.538,1.079,116.33
JPN,2047,52.884,-7.5,1.074,115.11
JPN,2048,52.837,-7.488,1.113,118.534
JPN,2049,52.7963,-7.492,1.099,116.311
JPN,2050,52.7551,-7.519,1.135,119.363
JPN,2051,52.7262,-7.55,1.132,118.217
JPN,2052,52.7122,-7.601,1.065,110.491
JPN,2053,52.7129,-7.701,1.142,117.791
JPN,2054,52.7342,-7.795,1.016,104.077
JPN,2055,52.7752,-7.91,1.084,110.22
JPN,2056,52.8265,-8.067,1.031,104.105
JPN,2057,52.8874,-8.216,1.066,106.956
JPN,2058,52.9546,-8.369,1.086,108.132
JPN,2059,53.0207,-8.515,0.989,97.809
JPN,2060,53.0928,-8.656,1.037,101.711
JPN,2061,53.1755,-8.808,1.087,105.828
JPN,2062,53.2591,-8.94,1.12,108.193
JPN,2063,53.3361,-9.031,1.13,108.331
JPN,2064,53.4023,-9.13,1.152,109.551
JPN,2065,53.4596,-9.159,1.051,99.118
JPN,2066,53.5074,-9.186,1.102,103.147
JPN,2067,53.5447,-9.172,1.133,105.133
JPN,2068,53.5724,-9.109,1.038,95.567
JPN,2069,53.5903,-9.013,1.054,96.31
JPN,2070,53.6031,-8.881,0.988,89.503
JPN,2071,53.6023,-8.702,1.075,96.698
JPN,2072,53.5772,-8.522,1.068,95.308
JPN,2073,53.5282,-8.297,1.016,90.022
JPN,2074,53.45,-8.05,1.079,94.927
JPN,2075,53.3494,-7.789,1.089,95.162
JPN,2076,53.2331,-7.531,1.089,94.47
JPN,2077,53.0949,-7.299,1.074,92.602
JPN,2078,52.9465,-7.044,1.081,92.644
JPN,2079,52.811,-6.842,1.117,95.199
JPN,2080,52.6883,-6.635,1.078,91.321
JPN,2081,52.5804,-6.46,1.129,95.119
JPN,2082,52.4883,-6.292,1.083,90.748
JPN,2083,52.4138,-6.155,1.103,91.986
JPN,2084,52.3575,-6.043,1.056,87.615
JPN,2085,52.3197,-5.953,1.044,86.182
JPN,2086,52.2985,-5.873,1.048,86.127
JPN,2087,52.2929,-5.821,1.089,89.045
JPN,2088,52.3027,-5.769,1.083,88.131
JPN,2089,52.328,-5.738,1.045,84.658
JPN,2090,52.3661,-5.727,1.045,84.292
JPN,2091,52.4153,-5.711,1.028,82.513
JPN,2092,52.4747,-5.733,0.974,77.806
JPN,2093,52.541,-5.764,1.009,80.198
JPN,2094,52.6096,-5.799,1.055,83.454
JPN,2095,52.6791,-5.833,1.047,82.423
JPN,2096,52.7495,-5.854,0.998,78.225
JPN,2097,52.8183,-5.879,1.055,82.317
JPN,2098,52.8831,-5.903,1.017,78.909
JPN,2099,52.9449,-5.959,0.978,75.526
JPN,2100,53.0022,-5.969,0.959,73.71
North America,1950,27.8152,15.7805,2.3635,112.666
North America,1951,27.82505,16.0425,4.9965,121.401
North America,1952,27.81205,16.635,4.962,97.329
North America,1953,27.783,16.83,4.6705,116.435
North America,1954,27.7312,17.5955,3.974,62.396
North America,1955,27.65765,17.251,3.1065,114.229
