var,type,sector,countrycode,year,value
csh,x,consumer goods,CHN,1952,0.0043399902
csh,x,consumer goods,CHN,1953,0.0037644683
csh,x,consumer goods,CHN,1954,0.0050496868
csh,x,consumer goods,CHN,1955,0.0036456545
csh,x,consumer goods,CHN,1956,0.0059373991
csh,x,consumer goods,CHN,1957,0.0058326197
csh,x,consumer goods,CHN,1958,0.0064046113
csh,x,consumer goods,CHN,1959,0.008679556
csh,x,consumer goods,CHN,1960,0.0102206059
csh,x,consumer goods,CHN,1961,0.0085336939
csh,x,consumer goods,CHN,1962,0.0073068577
csh,x,consumer goods,CHN,1963,0.0069017533
csh,x,consumer goods,CHN,1964,0.0065991839
csh,x,consumer goods,CHN,1965,0.0065218394
csh,x,consumer goods,CHN,1966,0.0058743695
csh,x,consumer goods,CHN,1967,0.0050428351
csh,x,consumer goods,CHN,1968,0.0051513473
csh,x,consumer goods,CHN,1969,0.0045962035
csh,x,consumer goods,CHN,1970,0.0037448112
csh,x,consumer goods,CHN,1971,0.0040491991
csh,x,consumer goods,CHN,1972,0.005025657
csh,x,consumer goods,CHN,1973,0.0068159146
csh,x,consumer goods,CHN,1974,0.0085695837
csh,x,consumer goods,CHN,1975,0.0082681398
csh,x,consumer goods,CHN,1976,0.0081225242
csh,x,consumer goods,CHN,1977,0.0076922355
csh,x,consumer goods,CHN,1978,0.0078001567
csh,x,consumer goods,CHN,1979,0.0092598782
csh,x,consumer goods,CHN,1980,0.011355341
csh,x,consumer goods,CHN,1981,0.014603219
csh,x,consumer goods,CHN,1982,0.0147510492
csh,x,consumer goods,CHN,1983,0.01383994
csh,x,consumer goods,CHN,1984,0.01491423
csh,x,consumer goods,CHN,1985,0.0136492657
csh,x,consumer goods,CHN,1986,0.0155778555
csh,x,consumer goods,CHN,1987,0.0182265913
csh,x,consumer goods,CHN,1988,0.0222352204
csh,x,consumer goods,CHN,1989,0.02061973
csh,x,consumer goods,CHN,1990,0.0262914207
csh,x,consumer goods,CHN,1991,0.0282310057
csh,x,consumer goods,CHN,1992,0.03366658
csh,x,consumer goods,CHN,1993,0.0361916978
csh,x,consumer goods,CHN,1994,0.0464855236
csh,x,consumer goods,CHN,1995,0.0460043082
csh,x,consumer goods,CHN,1996,0.0491219996
csh,x,consumer goods,CHN,1997,0.0606945292
csh,x,consumer goods,CHN,1998,0.0616280352
csh,x,consumer goods,CHN,1999,0.0610326471
csh,x,consumer goods,CHN,2000,0.063570296
csh,x,consumer goods,CHN,2001,0.0624499782
csh,x,consumer goods,CHN,2002,0.0653638414
csh,x,consumer goods,CHN,2003,0.0683884241
csh,x,consumer goods,CHN,2004,0.0648533716
csh,x,consumer goods,CHN,2005,0.0716477303
csh,x,consumer goods,CHN,2006,0.0761771472
csh,x,consumer goods,CHN,2007,0.0732786067
csh,x,consumer goods,CHN,2008,0.0689543832
csh,x,consumer goods,CHN,2009,0.0517718016
csh,x,consumer goods,CHN,2010,0.0556444542
csh,x,consumer goods,CHN,2011,0.0613226914
csh,x,consumer goods,CHN,2012,0.0636243536
csh,x,consumer goods,CHN,2013,0.0648319302
csh,x,consumer goods,CHN,2014,0.0651161591
csh,x,consumer goods,CHN,2015,0.0556232492
csh,x,consumer goods,CHN,2016,0.0539404055
csh,x,consumer goods,CHN,2017,0.0439331636
csh,x,consumer goods,CHN,2018,0.0451072342
csh,x,consumer goods,CHN,2019,0.04477466
csh,x,consumer goods,JPN,1950,0.00575573034
csh,x,consumer goods,JPN,1951,0.00790329756
csh,x,consumer goods,JPN,1952,0.00745900276
csh,x,consumer goods,JPN,1953,0.00675281148
csh,x,consumer goods,JPN,1954,0.00674133514
csh,x,consumer goods,JPN,1955,0.00707664796
csh,x,consumer goods,JPN,1956,0.00775944722
csh,x,consumer goods,JPN,1957,0.00796463662
csh,x,consumer goods,JPN,1958,0.0074192194
csh,x,consumer goods,JPN,1959,0.00754988553
csh,x,consumer goods,JPN,1960,0.00755305025
csh,x,consumer goods,JPN,1961,0.00693757921
csh,x,consumer goods,JPN,1962,0.00729959032
csh,x,consumer goods,JPN,1963,0.00731536625
csh,x,consumer goods,JPN,1964,0.00778531273
csh,x,consumer goods,JPN,1965,0.00908079995
csh,x,consumer goods,JPN,1966,0.00951967663
csh,x,consumer goods,JPN,1967,0.00898249626
csh,x,consumer goods,JPN,1968,0.00978528113
csh,x,consumer goods,JPN,1969,0.01045513407
csh,x,consumer goods,JPN,1970,0.01106691537
csh,x,consumer goods,JPN,1971,0.01218858917
csh,x,consumer goods,JPN,1972,0.01146055111
csh,x,consumer goods,JPN,1973,0.01175587991
csh,x,consumer goods,JPN,1974,0.0157420957
csh,x,consumer goods,JPN,1975,0.0141637805
csh,x,consumer goods,JPN,1976,0.0156785919
csh,x,consumer goods,JPN,1977,0.0163356828
